Country,CountryCode,Year,SuicideRate,SuicideRateRange
Thailand,THA,2017,12.8,[8.6-17.9]
Poland,POL,2017,11.1,[9.6-12.7]
,EUR,2017,11.3,[9.8-13.4]
Peru,PER,2017,2.7,[1.6-4.2]
Nepal,NPL,2017,3.0,[1.7-4.8]
,SEAR,2017,7.8,[6.2-9.7]
Madagascar,MDG,2017,5.5,[3.2-8.8]
South Africa,ZAF,2017,42.2,[28.7-58.6]
Mexico,MEX,2017,9.9,[9.3-10.6]
Paraguay,PRY,2017,3.4,[2.3-4.8]
Fiji,FJI,2017,9.9,[6.3-14.8]
Micronesia (Federated States of),FSM,2017,12.8,[5.7-21.3]
Montenegro,MNE,2017,8.1,[5.6-11.2]
United States of America,USA,2017,14.4,[13.6-19.2]
Japan,JPN,2017,7.6,[7.1-8.0]
Guinea,GIN,2017,18.4,[9.8-30.6]
Lao People's Democratic Republic,LAO,2017,8.9,[4.9-14.4]
Dominican Republic,DOM,2017,2.2,[1.3-3.4]
,GLOBAL,2017,9.1,[6.9-12.2]
Bangladesh,BGD,2017,3.7,[2.3-5.6]
Mozambique,MOZ,2017,23.1,[13.7-35.8]
Canada,CAN,2017,17.6,[14.8-20.6]
Sudan,SDN,2017,6.4,[3.2-10.9]
China,CHN,2017,8.9,[6.9-11.7]
Egypt,EGY,2017,2.2,[1.1-3.7]
Saint Vincent and the Grenadines,VCT,2017,0.0,[0.0-0.0]
Benin,BEN,2017,6.3,[3.6-10.3]
,WB_UMI,2017,7.7,[6.2-10.1]
Bolivia (Plurinational State of),BOL,2017,7.2,[3.8-11.8]
Comoros,COM,2017,11.5,[5.3-22.8]
,WB_LMI,2017,13.0,[8.4-18.3]
Canada,CAN,2017,11.7,[9.7-13.7]
Finland,FIN,2017,20.8,[17.5-24.4]
Togo,TGO,2017,25.0,[15.0-38.4]
Cyprus,CYP,2017,0.9,[0.6-1.2]
Kenya,KEN,2017,5.0,[3.6-6.6]
Democratic People's Republic of Korea,PRK,2017,11.2,[6.3-19.5]
Fiji,FJI,2017,6.1,[3.7-9.4]
Trinidad and Tobago,TTO,2017,4.1,[2.5-6.1]
Mali,MLI,2017,10.5,[4.9-20.8]
Syrian Arab Republic,SYR,2017,3.2,[2.0-4.9]
Egypt,EGY,2017,3.4,[1.6-6.4]
Djibouti,DJI,2017,7.7,[4.1-13.5]
Iraq,IRQ,2017,2.7,[1.7-4.3]
Maldives,MDV,2017,4.6,[2.9-6.8]
Timor-Leste,TLS,2017,2.3,[0.9-3.9]
United Republic of Tanzania,TZA,2017,3.9,[2.3-6.0]
Senegal,SEN,2017,19.0,[11.9-29.0]
Georgia,GEO,2017,8.1,[5.8-10.8]
Bulgaria,BGR,2017,2.8,[2.1-3.7]
Cuba,CUB,2017,4.4,[3.5-5.5]
Malawi,MWI,2017,3.8,[2.3-6.0]
Grenada,GRD,2017,0.8,[0.6-1.0]
,WB_LI,2017,5.4,[3.2-8.6]
Brazil,BRA,2017,2.8,[2.5-7.5]
Nepal,NPL,2017,18.3,[9.7-28.3]
El Salvador,SLV,2017,2.2,[1.4-3.1]
Myanmar,MMR,2017,1.2,[0.7-1.8]
Luxembourg,LUX,2017,7.5,[5.8-9.7]
,EUR,2017,4.5,[3.9-5.6]
Algeria,DZA,2017,2.5,[1.4-4.4]
,GLOBAL,2017,5.4,[4.3-7.2]
Sweden,SWE,2017,7.8,[6.7-8.9]
Slovenia,SVN,2017,23.7,[18.4-30.0]
Belarus,BLR,2017,18.5,[13.8-24.4]
Azerbaijan,AZE,2017,1.5,[0.9-2.4]
Hungary,HUN,2017,12.6,[10.7-14.8]
Tajikistan,TJK,2017,7.1,[4.4-10.3]
Djibouti,DJI,2017,12.3,[6.1-22.0]
Malawi,MWI,2017,11.7,[7.4-17.6]
Jordan,JOR,2017,1.9,[1.3-2.7]
Spain,ESP,2017,3.0,[2.4-3.6]
